my_char,enemy_char,my_hp,enemy_hp,my_cd,enemy_cd,my_ability3,enemy_ability3,action,win
0,1,15,6,1,1,1,0,1,1
0,1,19,2,1,0,0,0,3,1
0,1,15,1,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,18,11,1,1,1,0,1,1
0,1,17,9,1,0,1,0,2,1
0,1,14,9,1,1,1,0,1,1
0,1,18,7,1,0,0,0,3,1
0,1,15,6,1,1,0,0,1,1
0,1,14,5,1,0,0,0,2,1
0,1,12,5,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,20,11,1,0,1,1,2,1
0,1,17,11,1,1,1,1,1,1
0,1,14,6,1,1,1,0,1,1
0,1,18,5,1,0,0,0,3,1
0,1,15,4,1,1,0,0,1,1
0,1,14,3,1,0,0,0,2,1
0,1,12,3,1,1,0,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,19,10,1,1,1,0,1,1
0,1,23,8,1,0,0,0,3,1
0,1,20,7,1,1,0,0,1,1
0,1,19,5,1,0,0,0,2,1
0,1,17,5,1,1,0,0,1,1
0,1,16,3,1,0,0,0,2,1
0,1,13,3,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,25,12,1,0,0,1,3,1
0,1,23,11,1,1,0,1,1,1
0,1,22,9,1,0,0,1,2,1
0,1,18,9,1,1,0,1,1,1
0,1,17,5,1,0,0,1,2,1
0,1,14,5,1,1,0,1,1,1
0,1,11,2,1,1,0,0,1,1
0,1,22,13,1,1,1,1,1,1
0,1,21,12,1,0,1,1,2,1
0,1,17,12,1,1,1,1,1,1
0,1,21,9,1,0,0,1,3,1
0,1,17,8,1,1,0,1,1,1
0,1,16,7,1,0,0,1,2,1
0,1,14,7,1,1,0,1,1,1
0,1,13,4,1,0,0,1,2,1
0,1,10,4,1,1,0,1,1,1
0,1,22,13,1,1,1,1,1,1
0,1,20,11,1,1,1,0,1,1
0,1,19,9,1,0,1,0,2,1
0,1,17,9,1,1,1,0,1,1
0,1,21,5,1,0,0,0,3,1
0,1,19,4,1,1,0,0,1,1
0,1,18,2,1,0,0,0,2,1
0,1,16,2,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,20,12,1,0,1,1,2,1
0,1,18,12,1,1,1,1,1,1
0,1,22,8,1,0,0,1,3,1
0,1,20,7,1,1,0,1,1,1
0,1,19,6,1,0,0,1,2,1
0,1,15,6,1,1,0,1,1,1
0,1,12,1,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,20,11,1,0,1,1,2,1
0,1,18,11,1,1,1,1,1,1
0,1,15,8,1,1,1,0,1,1
0,1,19,7,1,0,0,0,3,1
0,1,16,6,1,1,0,0,1,1
0,1,15,3,1,0,0,0,2,1
0,1,13,3,1,1,0,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,25,11,1,0,0,1,3,1
0,1,22,10,1,1,0,1,1,1
0,1,20,8,1,1,0,0,1,1
0,1,19,5,1,0,0,0,2,1
0,1,16,5,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,19,9,1,1,1,0,1,1
0,1,18,6,1,0,1,0,2,1
0,1,16,6,1,1,1,0,1,1
0,1,20,4,1,0,0,0,3,1
0,1,16,3,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,19,10,1,1,1,0,1,1
0,1,23,9,1,0,0,0,3,1
0,1,19,8,1,1,0,0,1,1
0,1,18,6,1,0,0,0,2,1
0,1,15,6,1,1,0,0,1,1
0,1,14,4,1,0,0,0,2,1
0,1,11,4,1,1,0,0,1,1
0,1,10,2,1,0,0,0,2,1
0,1,8,2,1,1,0,0,1,1
0,1,21,13,1,1,1,1,1,1
0,1,18,11,1,1,1,0,1,1
0,1,17,10,1,0,1,0,2,1
0,1,13,10,1,1,1,0,1,1
0,1,12,8,1,0,1,0,2,1
0,1,9,8,1,1,1,0,1,1
0,1,13,4,1,0,0,0,3,1
0,1,10,3,1,1,0,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,25,12,1,0,0,1,3,1
0,1,22,11,1,1,0,1,1,1
0,1,20,7,1,1,0,0,1,1
0,1,19,4,1,0,0,0,2,1
0,1,16,4,1,1,0,0,1,1
0,1,22,13,1,1,1,1,1,1
0,1,18,9,1,1,1,0,1,1
0,1,17,6,1,0,1,0,2,1
0,1,14,6,1,1,1,0,1,1
0,1,13,3,1,0,1,0,2,1
0,1,10,3,1,1,1,0,1,1
0,1,23,13,1,1,1,1,1,1
0,1,19,10,1,1,1,0,1,1
0,1,18,9,1,0,1,0,2,1
0,1,14,9,1,1,1,0,1,1
0,1,18,7,1,0,0,0,3,1
0,1,16,6,1,1,0,0,1,1
0,1,15,5,1,0,0,0,2,1
0,1,12,5,1,1,0,0,1,1
0,1,11,3,1,0,0,0,2,1
0,1,7,3,1,1,0,0,1,1
0,1,22,13,1,1,1,1,1,1
0,1,21,10,1,0,1,1,2,1
0,1,19,10,1,1,1,1,1,1
0,1,15,5,1,1,1,0,1,1
0,1,14,3,1,0,1,0,2,1
0,1,10,3,1,1,1,0,1,1
0,1,22,13,1,1,1,1,1,1
0,1,25,10,1,0,0,1,3,1
0,1,23,9,1,1,0,1,1,1
